problem_description,ml_type
Predict sales based on sensor data,Supervised
Detect anomalies using labeled transaction history,Supervised
Predict customer churn based on user behavior data,Supervised
Predict house prices based on user behavior data,Supervised
Forecast fraud detection using historical transaction history,Supervised
Classify products into groups using user behavior data,Supervised
Forecast demand using historical user behavior data,Supervised
Forecast demand using historical user behavior data,Supervised
Forecast customer churn using historical demographics,Supervised
Predict customer churn based on transaction history,Supervised
Estimate demand from market trends,Supervised
Predict demand based on transaction history,Supervised
Classify customers into labels using market trends,Supervised
Forecast house prices using historical user behavior data,Supervised
Forecast customer churn using historical user behavior data,Supervised
Detect fraudulent activity using labeled user behavior data,Supervised
Forecast house prices using historical demographics,Supervised
Detect anomalies using labeled transaction history,Supervised
Detect fraudulent activity using labeled market trends,Supervised
Estimate fraud detection from transaction history,Supervised
Forecast fraud detection using historical market trends,Supervised
Detect anomalies using labeled market trends,Supervised
Detect anomalies using labeled demographics,Supervised
Forecast fraud detection using historical demographics,Supervised
Estimate customer churn from market trends,Supervised
Predict sales based on user behavior data,Supervised
Forecast fraud detection using historical user behavior data,Supervised
Classify users into categories using demographics,Supervised
Classify products into labels using market trends,Supervised
Forecast customer churn using historical demographics,Supervised
Classify users into labels using user behavior data,Supervised
Detect failures using labeled demographics,Supervised
Predict house prices based on user behavior data,Supervised
Estimate fraud detection from market trends,Supervised
Classify products into categories using market trends,Supervised
Classify products into segments using market trends,Supervised
Classify documents into segments using market trends,Supervised
Forecast customer churn using historical demographics,Supervised
Predict demand based on demographics,Supervised
Predict sales based on transaction history,Supervised
Predict customer churn based on transaction history,Supervised
Detect failures using labeled market trends,Supervised
Classify documents into groups using demographics,Supervised
Forecast house prices using historical user behavior data,Supervised
Forecast demand using historical market trends,Supervised
Estimate sales from sensor data,Supervised
Forecast customer churn using historical market trends,Supervised
Forecast house prices using historical demographics,Supervised
Forecast house prices using historical market trends,Supervised
Classify transactions into categories using transaction history,Supervised
Detect anomalies using labeled demographics,Supervised
Predict demand based on transaction history,Supervised
Forecast fraud detection using historical user behavior data,Supervised
